States,2010,2018,2019,2010,2018b,2019,2010,2018.00,
Alabama,"3,117 (77.2)","14,772 (354.1)","16,551 (395.3)","7,858 (194.6)","7,488 (179.5)","7,346 (175.5)","10,975 (271.8)",22260.00,533.7)
Alaska,338 (57.8),"1,568 (256.3)","1,581 (259.7)",110 (18.8),612.5 (100.1),856 (140.6),448 (76.6),2180.50,356.4)
Arizona,"2,343 (44.2)","6,487 (106.5)","7,379 (118.9)","5,496 (103.7)","10,777.5 (176.9)","12,011 (193.5)","7,839 (147.9)",17264.50,283.4)
Arkansas,500 (20.5),"2,984 (117.1)","3,396 (132.8)",522 (21.4),"1,163 (45.6)","1,431 (56)","1,022 (41.9)",4147.00,162.7)
California,"8,435 (27)","22,636 (67.4)","24,650 (73.3)","29,151 (93.4)","40,353 (120.1)","39,916 (118.6)","37,586 (120.5)",62989.00,187.5)
Colorado,"1,346 (32)","4,961 (102)","5,449 (110.4)","1,363 (32.4)","4,144 (85.2)","5,498 (111.4)","2,709 (64.5)",9105.00,187.2)
Connecticut,"4,274 (139.9)","9,034 (290.6)","9,483 (305.3)","14,298 (468.1)","17,052.5 (548.6)","19,487 (627.4)","18,572 (608.1)",26086.50,839.2)
Delaware,"1,118 (146.6)","2,523 (302.8)","2,620 (312)","2,031 (266.3)","5,680 (681.8)","5,970 (710.9)","3,149 (412.9)",8203.00,984.6)
D.C.,273 (51.2),900 (148.3),"1,510 (247.6)","2,065 (387.4)","1,334.5 (219.9)",918 (150.6),"2,338 (438.7)",2234.50,368.2)
Florida,"9,850 (60.8)","29,291 (158.2)","30,822 (164.9)","12,506 (77.2)","19,492 (105.3)","19,436 (104)","22,356 (138)",48783.00,263.5)
Georgia,"3,300 (41.1)","9,651 (108.6)","9,936 (110.5)","6,891 (85.9)","12,517 (140.9)","12,857 (143)","10,191 (127)",22168.00,249.5)
Hawaii,370 (32),"1,398 (115.3)","1,381 (114)",627 (54.2),868.5 (71.6),878 (72.5),997 (86.2),2266.50,186.9)
Idaho,514 (40.3),"2,018 (138)","2,227 (148.9)",300 (23.5),571 (39.1),707 (47.3),814 (63.8),2589.00,177.1)
Illinois,"3,697 (34.3)","9,409 (86.5)","9,807 (90.5)","12,002 (111.3)","15,759 (144.9)","16,922 (156.1)","15,699 (145.6)",25168.00,231.4)
Indiana,"4,585 (84.6)","15,440 (272.6)","17,652 (309.4)","5,337 (98.4)","7,153.5 (126.3)","6,874 (120.5)","9,922 (183)",22593.50,398.9)
Iowa,262 (10.2),898 (33.6),907 (33.9),455 (17.8),"1,478.5 (55.3)","1,607 (60)",717 (28),2376.50,88.9)
Kansas,381 (16.1),"1,629 (66.7)","1,576 (64.3)","1,527 (64.6)","2,365 (96.8)","2,337 (95.3)","1,908 (80.7)",3994.00,163.5)
Kentucky,"4,282 (117)","25,279 (665)","26,265 (690.1)","1,818 (49.7)","5,004 (131.6)","4,782 (125.6)","6,100 (166.7)",30283.00,796.6)
Louisiana,"3,369 (88.9)","11,947 (304.3)","12,371 (315.3)","3,569 (94.2)","3,345.5 (85.2)","3,047 (77.7)","6,938 (183.2)",15292.50,389.6)
Maine,"2,743 (237.8)","7,400 (628.4)","8,633 (728.6)","3,916 (339.5)","3,631 (308.3)","2,976 (251.2)","6,659 (577.3)",11031.00,936.7)
Maryland,"5,415 (110.7)","13,529 (262.4)","14,731 (285.3)","16,042 (328)","27,114.5 (526)","26,658 (516.3)","21,457 (438.7)",40643.50,788.4)
Massachusetts,"11,536 (204.7)","29,439 (489.1)","30,013 (498.8)","10,628 (188.6)","21,295 (353.8)","20,341 (338.1)","22,164 (393.4)",50734.00,843)
Michigan,"6,488 (77.4)","18,467 (214.9)","18,981 (220.8)","8,080 (96.4)","12,132.5 (141.2)","13,736 (159.8)","14,568 (173.8)",30599.50,356.1)
Minnesota,842 (18.9),"4,201 (88.5)","4,511 (94.4)","3,697 (83)","6,488.5 (136.7)","6,537 (136.8)","4,539 (102)",10689.50,225.2)
Mississippi,"2,246 (91.1)","6,006 (238)","5,911 (234.4)",200 (8.1),516 (20.4),863 (34.2),"2,446 (99.2)",6522.00,258.5)
Missouri,"1,291 (25.6)","5,628 (107.9)","6,829 (130.4)","3,185 (63.1)","3,977.5 (76.2)","3,855 (73.6)","4,476 (88.7)",9605.50,184.1)
